category	name	home	sdram	repository	branch	source_id	status	build_script	artifact	timing	hardware	comments
_Arcade	Sega System 1		no	https://github.com/MiSTer-devel/Arcade-SEGASYS1_MiSTer.git		MiSTer-devel_Arcade-SEGASYS1_MiSTer	not-ported			not-run	not-run	
_Arcade	Sega/Gremlin VIC Z80 Arcade hardware		yes	https://github.com/MiSTer-devel/Arcade-SegaVICZ80_MiSTer.git		MiSTer-devel_Arcade-SegaVICZ80_MiSTer	not-ported			not-run	not-run	
_Arcade	Silver Land		no	https://github.com/MiSTer-devel/Arcade-SilverLand_MiSTer.git		MiSTer-devel_Arcade-SilverLand_MiSTer	not-ported			not-run	not-run	
_Arcade	Slap Fight / ALCON		no	https://github.com/MiSTer-devel/Arcade-SlapFight_MiSTer.git		MiSTer-devel_Arcade-SlapFight_MiSTer	not-ported			not-run	not-run	
_Arcade	SNK 6502 Arcade hardware		no	https://github.com/MiSTer-devel/Arcade-SNK6502_MiSTer.git		MiSTer-devel_Arcade-SNK6502_MiSTer	not-ported			not-run	not-run	
_Arcade	SNK Triple Z80 Arcade hardware		no	https://github.com/MiSTer-devel/Arcade-SNK_TripleZ80_MiSTer.git		MiSTer-devel_Arcade-SNK_TripleZ80_MiSTer	not-ported			not-run	not-run	
_Arcade	Solomon's Key / Solomon no Kagi		no	https://github.com/MiSTer-devel/Arcade-SolomonsKey_MiSTer.git		MiSTer-devel_Arcade-SolomonsKey_MiSTer	not-ported			not-run	not-run	
_Arcade	Sonson		yes	https://github.com/MiSTer-devel/Arcade-Sonson_MiSTer.git		MiSTer-devel_Arcade-Sonson_MiSTer	not-ported			not-run	not-run	
_Arcade	Space Firebird		yes	https://github.com/MiSTer-devel/Arcade-SpaceFirebird_MiSTer.git		MiSTer-devel_Arcade-SpaceFirebird_MiSTer	not-ported			not-run	not-run	
_Arcade	Space Invaders		yes	https://github.com/MiSTer-devel/Arcade-SpaceInvaders_MiSTer.git		MiSTer-devel_Arcade-SpaceInvaders_MiSTer	not-ported			not-run	not-run	
_Arcade	Space Race		no	https://github.com/MiSTer-devel/Arcade-SpaceRace_MiSTer.git		MiSTer-devel_Arcade-SpaceRace_MiSTer	not-ported			not-run	not-run	
_Arcade	Sprint 1		no	https://github.com/MiSTer-devel/Arcade-Sprint1_MiSTer.git		MiSTer-devel_Arcade-Sprint1_MiSTer	not-ported			not-run	not-run	
_Arcade	Sprint 2		no	https://github.com/MiSTer-devel/Arcade-Sprint2_MiSTer.git		MiSTer-devel_Arcade-Sprint2_MiSTer	not-ported			not-run	not-run	
